Count;Country;code;cid;year;fstgdp;institutions;judicial;electoral;media;currcrisis;debtcrisis;bankcrisis;inflation;tradegdp;gini;debtgdp;labor;tariffs;kofglobal;koftrade;conflicts;unemployment;realconsumption;realgrosscapform;pbalance;placebo;war;independent;advanced;populist;leftpop;rightpop;popepc;populist_takeover;leftpop_takeover;rightpop_takeover;populist5;populist15
12;Argentina;ARG;1;1882;19.352335;0.14007875;0.852;0.405;0.743;0;0;0;-0.07965851;0.41615254;;0.259;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
13;Argentina;ARG;1;1883;21.094301;0.14007875;0.852;0.405;0.743;0;0;0;-0.068208694;0.40879565;;0.249;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
14;Argentina;ARG;1;1884;21.932884;0.123149514;0.852;0.393;0.743;0;0;0;0.05614853;1.0383557;;0.219;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
15;Argentina;ARG;1;1885;25.040419;0.123149514;0.852;0.393;0.743;1;0;0;0.230196;0.7948358;;0.233;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
16;Argentina;ARG;1;1886;24.363953;0.13020337;0.852;0.398;0.743;0;0;0;-0.13847733;0.7368531;;0.24;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
17;Argentina;ARG;1;1887;25.263956;0.13020337;0.852;0.398;0.743;0;0;0;-0.09171867;0.7513623;;0.212;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
18;Argentina;ARG;1;1888;28.533287;0.13020337;0.852;0.398;0.743;0;0;0;-0.16329288;0.8195599;;0.387;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
19;Argentina;ARG;1;1889;30.414461;0.13020337;0.852;0.398;0.743;1;0;0;0.13353157;0.69188935;;0.478;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
20;Argentina;ARG;1;1890;26.961657;0.13020337;0.852;0.398;0.743;0;1;1;0.34388542;0.46119303;;0.721;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
21;Argentina;ARG;1;1891;24.67975;0.13020337;0.852;0.398;0.743;0;0;0;0.10373402;0.24131967;;1.177;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
22;Argentina;ARG;1;1892;28.711159;0.1287926;0.852;0.397;0.743;0;0;0;-0.10373402;0.30833292;;0.937;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
23;Argentina;ARG;1;1893;29.526405;0.1287926;0.852;0.397;0.743;0;0;0;-0.09442425;0.3495228;;0.838;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
24;Argentina;ARG;1;1894;33.127205;0.12173874;0.852;0.392;0.743;0;0;0;0.15182877;0.33758563;;0.712;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
25;Argentina;ARG;1;1895;35.69916;0.12173874;0.852;0.392;0.743;0;0;0;0.08229256;0.32685393;;0.612;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
26;Argentina;ARG;1;1896;38.384502;0.11468489;0.852;0.387;0.743;0;0;0;0.06646347;0.40093535;;0.483;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
27;Argentina;ARG;1;1897;29.986353;0.11468489;0.852;0.387;0.743;0;0;0;-0.06646347;0.32084543;;0.664;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
28;Argentina;ARG;1;1898;31.624495;0.1287926;0.852;0.397;0.743;0;0;0;-0.11130047;0.36022604;;0.618;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
29;Argentina;ARG;1;1899;36.258057;0.1287926;0.852;0.397;0.743;0;0;0;-0.101937294;0.45470288;;0.615;;;;;;;;;;0;0;;0;;;;;0;0;0;0;0
30;Argentina;ARG;1;1900;30.9108;0.1287926;0.852;0.397;0.743;0;0;0;0.07354069;0.3620602;;0.54;;;;;;;;;2.82588;0;0;1;0;0;0;0;0;0;0;0;0;0
31;Argentina;ARG;1;1901;32.647263;0.1287926;0.852;0.397;0.743;0;0;0;0.057404518;0.40657735;;0.51;;;;;;;;;2.85972;0;0;1;0;0;0;0;0;0;0;0;0;0
32;Argentina;ARG;1;1902;31.063787;0.1287926;0.852;0.397;0.743;0;0;0;0;0.36639628;;0.482;;;;;;;;;1.01616;0;0;1;0;0;0;0;0;0;0;0;0;0
33;Argentina;ARG;1;1903;34.62811;0.1287926;0.852;0.397;0.743;0;0;0;-0.009106636;0.44708616;;0.408;;;;;;;;;3.2590103;0;0;1;0;0;0;0;0;0;0;0;0;0
34;Argentina;ARG;1;1904;37.34111;0.003234004;0.852;0.308;0.743;0;0;0;-0.03874302;0.4865694;;0.373;;;;;;;;;2.7186;1;0;1;0;0;0;0;0;0;0;0;0;0
35;Argentina;ARG;1;1905;41.23983;-0.04332143;0.852;0.275;0.743;0;0;0;0.14670372;0.45525602;;0.277;;;;;;;;;-1.29498;0;0;1;0;0;0;0;0;0;0;0;0;0
36;Argentina;ARG;1;1906;41.40127;-0.04332143;0.852;0.275;0.743;0;0;0;0.025569916;0.4311933;;0.255;;;;;;;;;1.80196;1;0;1;0;0;0;0;0;0;0;0;0;0
37;Argentina;ARG;1;1907;40.353317;-0.04332143;0.852;0.275;0.743;0;0;0;0.06553936;0.44809753;;0.272;;;;;;;;;1.85671;0;0;1;0;0;0;0;0;0;0;0;0;0
38;Argentina;ARG;1;1908;42.433453;-0.04332143;0.852;0.275;0.743;0;0;0;0.006896019;0.46702808;;0.23;;;;;;;;;2.10172;0;0;1;0;0;0;0;0;0;0;0;0;0
39;Argentina;ARG;1;1909;42.55837;-0.04332143;0.852;0.275;0.743;0;0;0;0.05352497;0.42818323;;0.245;;;;;;;;;-1.09339;0;0;1;0;0;0;0;0;0;0;0;0;0
40;Argentina;ARG;1;1910;43.680588;-0.037678346;0.852;0.279;0.743;0;0;0;-0.007629395;0.39386415;;0.225;;;;;;;;;-0.831128;1;0;1;0;0;0;0;0;0;0;0;0;0
41;Argentina;ARG;1;1911;42.719074;-0.036267575;0.852;0.28;0.743;0;0;0;0.007629395;0.4346063;;0.261;;;;;;;;;-0.68;0;0;1;0;0;0;0;0;0;0;0;0;0
42;Argentina;ARG;1;1912;44.501568;0.39099708;0.864;0.518;0.743;0;0;0;0.0357275;0.5140451;;0.23;;;;;;;;;0.631906;0;0;1;0;0;0;0;0;0;0;0;0;0
43;Argentina;ARG;1;1913;43.18591;0.5010372;0.864;0.596;0.743;0;0;0;0.05354309;0.51447546;;0.227;;;;;;;;;0.875045;1;0;1;0;0;0;0;0;0;0;0;0;0
44;Argentina;ARG;1;1914;36.98802;0.4869295;0.864;0.586;0.743;0;0;1;0;0.3840222;;0.247;;;;;;;;;-1.2697;0;1;1;0;0;0;0;0;0;0;0;0;0
45;Argentina;ARG;1;1915;35.704296;0.4826972;0.864;0.583;0.743;0;0;0;0.06813145;0.42312142;;0.231;;;;;;;;;-1.04554;0;1;1;0;0;0;0;0;0;0;0;0;0
46;Argentina;ARG;1;1916;34.05893;0.6967332;0.887;0.642;0.798;0;0;0;0.07158756;0.4009623;;0.22;;;;;;;;;-0.616077;0;1;1;0;1;1;0;0;0;0;0;0;0
47;Argentina;ARG;1;1917;30.711521;0.73304236;0.891;0.663;0.798;0;0;0;0.16042233;0.38770318;;0.217;;;;;;;;;-0.648619;0;1;1;0;1;1;0;0;0;0;0;0;0
48;Argentina;ARG;1;1918;35.810207;0.7894732;0.891;0.703;0.798;0;0;0;0.22439289;0.4059167;;0.151;;;;;;;;;0.229428;0;1;1;0;1;1;0;0;0;0;0;0;0
49;Argentina;ARG;1;1919;36.508663;0.8007593;0.891;0.711;0.798;0;0;0;-0.054655075;0.50494945;;0.145;;;;;1;;;;1.01352;0;0;1;0;1;1;0;0;0;0;0;0;0
50;Argentina;ARG;1;1920;38.535053;0.7979378;0.891;0.709;0.798;1;0;0;0.15068626;0.5644187;;0.119;;;;;1;;;;1.26747;0;0;1;0;1;1;0;0;0;0;0;0;0
51;Argentina;ARG;1;1921;38.346867;0.796527;0.891;0.708;0.798;0;0;0;-0.10785484;0.4347813;;0.14;;;;;0;;;;0.306609;0;0;1;0;1;1;0;0;0;0;0;0;0
52;Argentina;ARG;1;1922;40.244873;0.82971656;0.883;0.741;0.798;0;0;0;-0.18357086;0.41425532;;0.15;;;;;1;;;;-0.48603898;1;0;1;0;1;1;0;0;0;0;0;0;0
53;Argentina;ARG;1;1923;43.453667;0.8168325;0.866;0.752;0.798;1;0;0;-0.01439476;0.4363473;;0.136;;;;;0;;;;0.289765;0;0;1;0;0;0;0;0;0;0;0;0;0
54;Argentina;ARG;1;1924;45.519196;0.8154217;0.866;0.751;0.798;0;0;0;0.01439476;0.56288236;;0.14;;;;;2;;;;0.513584;0;0;1;0;0;0;0;0;0;0;0;0;0
55;Argentina;ARG;1;1925;43.941948;0.8140109;0.866;0.75;0.798;0;0;0;-0.021669388;0.42860252;;0.162;;;;;0;;;;0.732604;0;0;1;0;0;0;0;0;0;0;0;0;0
56;Argentina;ARG;1;1926;44.85597;0.8111894;0.866;0.748;0.798;0;0;0;-0.030018806;0.40130472;;0.174;;;;;0;;;;0.415109;0;0;1;0;0;0;0;0;0;0;0;0;0
57;Argentina;ARG;1;1927;46.806435;0.80977863;0.866;0.747;0.798;0;0;0;-0.007553101;0.44062194;;0.193;;;;;0;;;;-1.66312;0;0;1;0;0;0;0;0;0;0;0;0;0
58;Argentina;ARG;1;1928;48.420727;0.81824327;0.866;0.753;0.798;0;0;0;-0.11305618;0.40662494;;0.192;;;;;1;;;;0.118324;0;0;1;0;1;1;0;0;0;0;0;0;0
59;Argentina;ARG;1;1929;49.323635;0.8210648;0.866;0.755;0.798;0;0;0;0.11305618;0.38119864;;0.179;;;;;2;;;;-0.178416;0;0;1;0;1;1;0;0;0;0;0;0;0
60;Argentina;ARG;1;1930;45.929672;-0.5867959;0.855;0.498;0.612;1;0;0;0.015421867;0.30733734;;0.191;;;;;2;;;;-1.94006;1;0;1;0;1;1;0;0;0;0;0;0;0
61;Argentina;ARG;1;1931;41.884144;-1.8998891;0.739;0.057;0.316;0;0;1;-0.15470982;0.32583204;;0.243;;;;;1;;;;-0.576959;0;0;1;0;0;0;0;0;0;0;0;0;0
62;Argentina;ARG;1;1932;39.713627;-1.3133727;0.819;0.378;0.316;0;0;0;-0.110943794;0.29320383;;0.282;;;;;1;;;;1.95143;1;0;1;0;0;0;0;0;0;0;0;0;0
63;Argentina;ARG;1;1933;40.83928;-0.9284203;0.78;0.378;0.584;1;0;0;0.06274128;0.25460672;;0.289;;;;;0;;;;1.6134;0;0;1;0;0;0;0;0;0;0;0;0;0
64;Argentina;ARG;1;1934;43.299427;-0.9504693;0.82;0.315;0.584;0;0;1;-0.041545868;0.29404205;;0.265;;;;;0;;;;0.560616;0;0;1;0;0;0;0;0;0;0;0;0;0
65;Argentina;ARG;1;1935;44.374256;-0.96880937;0.82;0.302;0.584;0;0;0;0.13114452;0.29526323;;0.3;;;;;3;;;;0.509029;0;0;1;0;0;0;0;0;0;0;0;0;0
66;Argentina;ARG;1;1936;44.047413;-0.9942032;0.82;0.284;0.584;0;0;0;0;0.27054122;;0.315;;;;;0;;;;-0.008125;0;0;1;0;0;0;0;0;0;0;0;0;0
67;Argentina;ARG;1;1937;46.54822;-0.083662145;0.82;0.271;0.584;0;0;0;0.023550034;0.3235087;;0.272;;;;;0;;;;-0.366938;0;0;1;0;0;0;0;0;0;0;0;0;0
68;Argentina;ARG;1;1938;45.96055;-0.08225137;0.82;0.272;0.584;0;0;0;-0.006554604;0.25035077;;0.288;;;;;0;;;;-0.854808;1;0;1;0;0;0;0;0;0;0;0;0;0
69;Argentina;ARG;1;1939;46.99915;-0.07660829;0.82;0.276;0.584;0;0;0;0.011036873;0.24624053;;0.306;;;;;0;;;;-1.6774402;0;1;1;0;0;0;0;0;0;0;0;0;0
70;Argentina;ARG;1;1940;47.02367;-0.014534379;0.82;0.32;0.584;0;0;0;0.002840996;0.23816006;;0.304;;;;;;;;;-0.680071;0;1;1;0;0;0;0;0;0;0;0;0;0
71;Argentina;ARG;1;1941;48.748455;-0.003248214;0.82;0.328;0.584;1;0;0;0.10531998;0.20513737;;0.299;;;;;;;;;-1.28378;0;1;1;0;0;0;0;0;0;0;0;0;0
72;Argentina;ARG;1;1942;48.525925;0.012270263;0.82;0.339;0.584;0;0;0;0.004732132;0.20050415;;0.281;;;;;;;;;-1.48956;1;1;1;0;0;0;0;0;0;0;0;0;0
73;Argentina;ARG;1;1943;47.439327;-1.671922;0.805;0.144;0.313;0;0;0;-0.040005684;0.19368213;;0.289;;;;;;;;;-2.24355;1;1;1;0;0;0;0;0;0;0;0;0;0
74;Argentina;ARG;1;1944;52.043156;-1.9786587;0.743;0;0.313;0;0;0;0.03818798;0.12656453;;0.269;;;;;;;;;-3.18299;1;1;1;0;0;0;0;0;0;0;0;0;0
75;Argentina;ARG;1;1945;49.560852;-1.8512698;0.772;0;0.36;0;0;0;0.20337868;0.1729899;;0.276;;;;;;;;;-3.84083;0;1;1;0;0;0;0;0;0;0;0;0;0
76;Argentina;ARG;1;1946;52.835777;-1.0687041;0.75;0.576;0.364;1;0;0;0.17142868;0.22849822;;0.242;;;;;7;;;;-3.14488;0;0;1;0;1;1;0;1;1;1;0;0;0
77;Argentina;ARG;1;1947;57.485683;-1.4368966;0.421;0.691;0.418;0;0;0;0.1389246;0.3186957;;0.201;;;;;0;;;;-0.780501;0;0;1;0;1;1;0;1;0;0;0;1;1
78;Argentina;ARG;1;1948;59.30026;-1.6147203;0.39;0.685;0.348;1;0;0;0.17266273;0.39166343;;0.194;;;;;0;;;;-2.01974;0;0;1;0;1;1;0;1;0;0;0;1;1
79;Argentina;ARG;1;1949;57.154285;-1.620901;0.39;0.683;0.346;0;0;0;0.2902422;0.3277201;;0.197;;;;;3;;;;-3.23497;0;0;1;0;1;1;0;1;0;0;0;1;1
80;Argentina;ARG;1;1950;56.520462;-1.7785212;0.361;0.683;0.281;0;0;0;0.199749;0.39911124;;0.205;0.44148228;;;;0;;;;-2.63978;0;0;1;0;1;1;0;1;0;0;0;1;1
81;Argentina;ARG;1;1951;57.508144;-1.831997;0.361;0.682;0.25;1;1;0;0.40688515;0.36316139;;0.174;0.44148228;;;;2;;;;-2.83327;0;0;1;0;1;1;0;1;0;0;0;1;1
82;Argentina;ARG;1;1952;53.4332;-1.859973;0.349;0.674;0.252;0;0;0;0.1745739;0.22065705;;0.187;0.44148228;;;;0;;;;-2.21656;0;0;1;0;1;1;0;1;0;0;0;0;1
83;Argentina;ARG;1;1953;55.20732;-1.859973;0.349;0.674;0.252;0;0;0;-0.007175446;0.19771978;;0.214;0.44148228;;;;2;;;;-2.34877;0;0;1;0;1;1;0;1;0;0;0;0;1
84;Argentina;ARG;1;1954;56.427727;-1.8924208;0.349;0.651;0.252;1;0;0;0.14853954;0.18805513;;0.239;0.44148228;;;;5;;;;-2.39503;0;0;1;0;1;1;0;1;0;0;0;0;1
85;Argentina;ARG;1;1955;59.358963;-1.831453;0.359;0.459;0.312;0;0;0;0.07204914;0.4532283;;0.241;0.44148228;;;;11;;;;-2.93154;1;0;1;0;1;1;0;1;0;0;0;0;1
86;Argentina;ARG;1;1956;59.929806;-1.8036857;0.567;0;0.337;0;1;0;0.15421581;0.37468126;;0.22;0.44148228;;;;4;;;;-3.03798;0;0;1;0;0;0;0;0;0;0;0;0;1
87;Argentina;ARG;1;1957;61.98008;-1.1016304;0.567;0.251;0.374;0;0;0;0.22816753;0.3203812;;0.197;0.44148228;;;;4;;;;-2.05105;0;0;1;0;0;0;0;0;0;0;0;0;1
88;Argentina;ARG;1;1958;64.70086;-0.16226505;0.582;0.615;0.485;1;0;0;0.4104538;0.40718645;;0.172;0.44148228;;;;7;;;;;1;0;1;0;0;0;0;0;0;0;0;0;1
89;Argentina;ARG;1;1959;59.43645;0.2237455;0.652;0.62;0.641;0;0;0;0.70121956;0.21858692;;0.102;0.44148228;;;;8;;;;-4.29136;0;0;1;0;0;0;0;0;0;0;0;0;1
90;Argentina;ARG;1;1960;63.13618;0.23362088;0.652;0.627;0.641;0;0;0;0.16978931;0.19134904;;0.084;0.44148228;;;;1;;;29433023837;-1.4774;0;0;1;0;0;0;0;0;0;0;0;0;1
91;Argentina;ARG;1;1961;66.593925;0.32974377;0.707;0.63;0.641;0;0;0;0.15210724;0.1639939;36.1;0.087;0.44148228;;;;4;;;32281366924;2.1863;0;0;1;0;0;0;0;0;0;0;0;0;1
92;Argentina;ARG;1;1962;64.477684;-0.28341818;0.747;0.148;0.641;1;0;0;0.2675457;0.19342382;35.9;0.251;0.44148228;;;;3;;;29433023837;0.087724;1;0;1;0;0;0;0;0;0;0;0;0;0
93;Argentina;ARG;1;1963;61.941032;0.2511172;0.807;0.329;0.705;0;0;0;0.21371078;0.13490441;35.8;0.234;0.44148228;;;;0;;;24211014003;-0.046591;1;0;1;0;0;0;0;0;0;0;0;0;0
94;Argentina;ARG;1;1964;67.36767;0.770357;0.829;0.671;0.705;1;0;0;0.16639423;0.10026518;35.8;0.168;0.44148228;;;;1;;;31094538441;-0.518542;0;0;1;0;0;0;0;0;0;0;0;0;0
95;Argentina;ARG;1;1965;72.515976;0.7844647;0.829;0.681;0.705;0;0;0;0.32354927;0.097403124;35.7;0.159;0.44148228;;;;1;;;32281366924;-0.380683;0;0;1;0;0;0;0;0;0;0;0;0;0
96;Argentina;ARG;1;1966;71.91516;-1.426171;0.593;0.333;0.554;0;0;0;0.26187325;0.0984845;35.7;0.134;0.44148228;;;;4;;;31094573233;-0.506213;1;0;1;0;0;0;0;0;0;0;0;0;0
97;Argentina;ARG;1;1967;72.79176;-2.4043074;0.531;0;0.313;1;0;0;0.24178314;0.11540154;35.8;0.109;0.44148228;;;;1;;;32281488602;1.03855;0;0;1;0;0;0;0;0;0;0;0;0;0
98;Argentina;ARG;1;1968;74.883766;-2.4698088;0.531;0;0.274;0;0;0;0.09133196;0.10394557;35.8;0.094;0.44148228;;;;3;;;35129893690;0.645151;0;0;1;0;0;0;0;0;0;0;0;0;0
99;Argentina;ARG;1;1969;80.18525;-2.4698088;0.531;0;0.274;1;0;0;0.064496994;0.110807374;35.8;0.096;0.44148228;;;;28;;;43200298767;3.41006;0;0;1;0;0;0;0;0;0;0;0;0;0
100;Argentina;ARG;1;1970;83.27129;-2.4698088;0.531;0;0.274;0;0;0;0.19673586;0.121510476;35.8;0.135;0.44148228;;32.897644;29.243567;10;;;44163994201;4.04627;1;0;1;0;0;0;0;0;0;0;0;0;0
101;Argentina;ARG;1;1971;85.041954;-2.2934592;0.531;0;0.379;0;0;0;0.3301792;0.11525512;35.8;0.152;0.44148228;;28.824038;29.240116;2;;;48991927532;3.93612;1;0;1;0;0;0;0;0;0;0;0;0;0
102;Argentina;ARG;1;1972;85.35694;-1.934042;0.531;0;0.593;0;0;0;0.4956026;0.116714;35.7;0.171;0.44148228;;23.395123;29.525438;5;;;49490266251;4.13166;0;0;1;0;0;0;0;0;0;0;0;0;0
103;Argentina;ARG;1;1973;87.078545;0.073351495;0.608;0.572;0.593;0;0;0;0.36302614;0.10955225;35.7;0.12;0.44148228;;22.837168;29.897816;6;;;47164202353;2.59012;0;0;1;0;1;1;0;1;1;1;0;0;0
104;Argentina;ARG;1;1974;90.299286;0.48301685;0.562;0.724;0.755;1;0;0;0.3371973;0.10729167;35.7;0.13;0.44148228;;20.258204;30.555515;12;;;47686429445;5.05151;0;0;1;0;1;1;0;1;0;0;0;1;1
105;Argentina;ARG;1;1975;88.27971;0.60562176;0.562;0.724;0.828;0;0;0;1.4700832;0.1340599;36;0.338;0.44148228;;20.61905;31.032202;6;;;48540998139;2.31715;0;0;1;0;1;1;0;1;0;0;0;1;1
106;Argentina;ARG;1;1976;86.88349;-2.7964597;0.326;0.166;0.144;0;0;0;1.4986172;0.1368323;36.3;0.287;0.44148228;;24.136835;31.253315;4;;;51911387022;-1.21658;1;0;1;0;1;1;0;1;0;0;0;1;1
107;Argentina;ARG;1;1977;91.10573;-3.1034377;0.391;0;0.036;0;0;0;0.9571841;0.17361411;36.8;0.251;0.44148228;;35.391144;32.264385;2;;;62759021166;0.371964;0;0;1;0;0;0;0;0;0;0;0;1;1
108;Argentina;ARG;1;1978;86.80028;-3.1034377;0.391;0;0.036;0;0;0;0.9926753;0.18761843;37.2;0.175;0.44148228;;38.019295;32.434002;3;;;52765955716;0.185656;0;0;1;0;0;0;0;0;0;0;0;1;1
109;Argentina;ARG;1;1979;91.51999;-3.1034377;0.391;0;0.036;0;0;0;0.874366;0.23615259;37.6;0.124;0.44148228;;42.880238;34.490517;3;;;58154183585;0.127091;0;0;1;0;0;0;0;0;0;0;0;0;1
110;Argentina;ARG;1;1980;91.53486;-3.093413;0.397;0;0.036;0;0;1;0.62932634;0.2462003;38;0.114;0.44148228;;45.690197;31.22854;0;;;62868748842;0.269949;0;0;1;0;0;0;0;0;0;0;0;0;1
111;Argentina;ARG;1;1981;85.16625;-3.0219607;0.397;0;0.036;0;0;0;0.8384338;0.24706975;38.5;0.265;0.44148228;;52.851364;30.273706;4;;;53453563950;-1.04771;1;0;1;0;0;0;0;0;0;0;0;0;1
112;Argentina;ARG;1;1982;81.33325;-3.0219607;0.397;0;0.036;0;1;0;1.1305327;0.16426927;38.9;0.552;0.44148228;;46.867996;27.415817;8;;;42793381597;-0.174148;1;0;1;0;0;0;0;0;0;0;0;0;1
113;Argentina;ARG;1;1983;83.50904;-0.7742959;0.606;0.152;0.358;0;0;0;1.6746516;0.1333722;39.3;0.642;0.44148228;;44.93001;26.090036;2;;;42964345047;-0.627008;1;0;1;0;0;0;0;0;0;0;0;0;1
114;Argentina;ARG;1;1984;84.078026;1.4904425;0.779;0.881;0.922;0;0;0;-11.751209;0.17660734;39.7;0.546;0.44148228;;50.12959;26.845781;6;;;41188032061;0.731905;0;0;1;0;0;0;0;0;0;0;0;0;1
115;Argentina;ARG;1;1985;77.06414;1.4890317;0.779;0.88;0.922;0;0;0;1.5798411;0.15151873;40.1;0.679;0.44148228;;49.1615;26.160467;1;;;35378578810;;0;0;1;0;0;0;0;0;0;0;0;0;1
116;Argentina;ARG;1;1986;81.59501;1.4819778;0.779;0.875;0.922;0;0;0;0.59833384;0.11776881;40.5;0.559;0.44148228;;44.208508;25.255907;3;;;39284648677;5.17312;0;0;1;0;0;0;0;0;0;0;0;0;1
117;Argentina;ARG;1;1987;82.61476;1.4819778;0.779;0.875;0.922;0;0;0;1.0108352;0.12575012;41;0.741;0.44148228;;44.056156;25.09312;2;;;44366479386;3.42963;0;0;1;0;0;0;0;0;0;0;0;0;1
118;Argentina;ARG;1;1988;79.956535;1.4819778;0.779;0.875;0.922;0;0;0;1.5846093;0.12493643;41.4;0.614;0.44148228;;44.350323;24.774849;1;;;42804898715;-0.81591;0;0;1;0;0;0;0;0;0;0;0;0;1
119;Argentina;ARG;1;1989;73.28677;1.4161686;0.779;0.879;0.922;0;0;1;3.9167256;0.21121186;41.8;1.182;0.44148228;;53.823082;27.458477;1;;;33558372773;0.683572;0;0;1;0;1;0;1;1;1;0;1;0;0
120;Argentina;ARG;1;1990;70.92663;1.0695864;0.595;0.881;0.897;0;0;0;2.6699529;0.12931243;42.1;0.485;0.44148228;;47.045437;24.987844;8;;;27903757037;0.563924;0;0;1;0;1;0;1;1;0;0;0;1;1
121;Argentina;ARG;1;1991;77.51853;1.0639433;0.595;0.877;0.897;0;0;0;0.6096947;0.120388575;42.3;0.357;0.44148228;;43.48589;27.259151;0;5.44;;36258610275;1.8508;0;0;1;0;1;0;1;1;0;0;0;1;1
122;Argentina;ARG;1;1992;84.1401;1.0938388;0.595;0.872;0.919;0;0;0;0.16165829;0.121616274;42.4;0.301;0.44148228;12.66;45.755165;27.56731;1;6.36;;48094677584;3.13268;0;0;1;0;1;0;1;1;0;0;0;1;1
123;Argentina;ARG;1;1993;88.06;1.0938388;0.595;0.872;0.919;0;0;0;0.071063995;0.12849915;42.7;0.3;0.44148228;12.53;60.439915;28.02465;2;10.1;6149.761558;55002965429;4.06879;0;0;1;0;1;0;1;1;0;0;0;1;1
124;Argentina;ARG;1;1994;92.26161;1.1037142;0.595;0.879;0.919;0;0;0;0.037819386;0.1518341;43.2;0.318;0.43023983;10.434999;62.456814;28.951324;7;11.76;6440.937385;61952880205;2.19743;0;0;1;0;1;0;1;1;0;0;0;1;1
125;Argentina;ARG;1;1995;88.65397;1.0983311;0.596;0.874;0.919;0;0;1;0.015949726;0.157401;43.7;0.344;0.39325282;8.34;66.609474;31.93047;10;18.8;6083.72896;54124858891;1.8666002;0;0;1;0;1;0;1;1;0;0;0;0;1
126;Argentina;ARG;1;1996;92.60944;1.0912772;0.596;0.869;0.919;0;0;0;0.000543118;0.1809431;44.2;0.364;0.36615747;13.33;66.758545;30.7098;4;17.11;6344.25645;61216972754;0.561782;0;0;1;0;1;0;1;1;0;0;0;0;1
127;Argentina;ARG;1;1997;99.13479;1.0912772;0.596;0.869;0.919;0;0;0;0.003274441;0.1942957;44.7;0.353;0.35651743;13.93;70.983246;29.73899;13;14.82;6834.050397;71374562333;0.332833;0;0;1;0;1;0;1;1;0;0;0;0;1
